Date / Ticker,AAPL.MX,LLY.MX,MSFT.MX
20/01/2022,3384.67,5046.33,6212.77
21/01/2022,3329.45,4956.77,6082.25
24/01/2022,3293.24,4956.77,6074.04
25/01/2022,3308.68,4956.77,5999.49
26/01/2022,3299.45,4911.86,6134.40
27/01/2022,3308.99,4911.86,6248.02
28/01/2022,3533.29,5014.90,6354.96
31/01/2022,3589.89,5031.66,6370.30
01/02/2022,3583.27,5031.66,6325.27
02/02/2022,3604.00,5163.81,6435.77
03/02/2022,3568.65,5035.74,6201.47
04/02/2022,3572.52,5036.65,6328.53
08/02/2022,3604.86,5036.65,6262.81
09/02/2022,3600.35,4966.77,6355.97
10/02/2022,3542.57,4966.77,6212.59
11/02/2022,3466.13,4966.77,6048.77
14/02/2022,3437.74,4795.99,6025.37
15/02/2022,3508.09,4795.99,6108.37
16/02/2022,3496.67,4967.88,6082.86
17/02/2022,3432.54,4967.88,5898.69
18/02/2022,3392.01,4967.88,5858.78
21/02/2022,3302.77,4967.88,5702.16
22/02/2022,3332.74,4860.90,5817.98
23/02/2022,3243.08,4860.90,5686.20
24/02/2022,3321.26,4973.74,6019.31
25/02/2022,3351.81,4973.74,6049.64
28/02/2022,3360.74,5111.85,6069.22
01/03/2022,3360.91,5111.85,6050.62
02/03/2022,3435.59,5224.87,6181.53
03/03/2022,3419.06,5224.87,6093.31
04/03/2022,3415.51,5443.38,6038.50
07/03/2022,3401.87,5443.38,5963.99
08/03/2022,3361.79,5670.22,5870.55
09/03/2022,3405.39,5491.98,6017.49
10/03/2022,3317.10,5564.33,5956.22
11/03/2022,3241.96,5631.77,5855.66
14/03/2022,3147.74,5631.77,5779.87
15/03/2022,3230.76,5730.63,5975.53
16/03/2022,3272.44,5704.08,6033.31
17/03/2022,3277.72,5811.89,6042.44
18/03/2022,3342.88,5859.93,6109.51
22/03/2022,3420.33,5859.93,6156.63
23/03/2022,3440.76,5776.62,6053.96
24/03/2022,3484.55,5760.44,6085.69
25/03/2022,3476.39,5760.44,6040.56
28/03/2022,3517.07,5812.51,6219.25
29/03/2022,3560.75,5812.51,6282.77
30/03/2022,3520.13,5800.13,6212.19
31/03/2022,3489.84,5800.13,6158.33
01/04/2022,3443.07,5800.13,6083.99
04/04/2022,3531.33,5781.56,6224.61
05/04/2022,3487.60,5781.56,6201.47
06/04/2022,3457.82,6141.03,6036.70
07/04/2022,3475.59,6240.88,6096.26
08/04/2022,3409.15,6245.88,5952.60
11/04/2022,3299.76,6214.38,5673.84
12/04/2022,3319.86,6214.38,5576.47
13/04/2022,3369.78,5971.28,5691.18
18/04/2022,3259.53,5926.82,5533.14
19/04/2022,3356.23,5958.18,5719.86
20/04/2022,3337.67,5798.74,5745.12
21/04/2022,3359.27,5835.48,5662.12
22/04/2022,3289.38,5670.89,5578.32
25/04/2022,3281.00,5670.72,5652.65
26/04/2022,3204.11,5761.81,5517.26
27/04/2022,3196.23,5811.51,5788.06
28/04/2022,3344.58,6120.06,5918.55
29/04/2022,3224.64,5970.65,5655.20
02/05/2022,3226.94,5970.65,5814.01
03/05/2022,3218.13,5836.48,5694.98
04/05/2022,3321.04,5891.34,5810.61
05/05/2022,3159.97,5888.20,5588.77
06/05/2022,3173.63,5888.20,5512.51
09/05/2022,3092.03,5891.40,5370.24
10/05/2022,3147.32,5828.49,5484.19
11/05/2022,2969.44,5824.18,5268.46
12/05/2022,2862.91,5840.70,5162.37
13/05/2022,2946.74,5841.68,5234.53
16/05/2022,2909.87,6011.98,5237.01
17/05/2022,2973.08,5973.23,5308.52
18/05/2022,2817.27,5973.23,5083.60
19/05/2022,2733.08,5767.63,5047.82
20/05/2022,2718.81,5872.36,4974.81
23/05/2022,2828.12,5994.25,5147.26
24/05/2022,2780.82,5990.19,5147.34
25/05/2022,2779.89,5990.19,5188.21
26/05/2022,2845.37,6180.01,5263.90
27/05/2022,2914.72,6287.87,5341.14
30/05/2022,2897.37,6287.87,5373.24
31/05/2022,2933.91,6110.51,5373.76
01/06/2022,2943.79,6110.51,5387.22
02/06/2022,2942.68,6110.51,5343.62
03/06/2022,2840.77,5918.35,5295.16
06/06/2022,2858.45,5918.35,5249.10
07/06/2022,2908.39,5918.35,5349.80
08/06/2022,2893.77,5918.35,5256.56
09/06/2022,2816.47,5999.73,5213.71
10/06/2022,2756.47,5982.27,5060.99
13/06/2022,2700.21,5982.27,4962.57
14/06/2022,2739.09,5979.14,5049.39
15/06/2022,2753.87,6019.22,5124.30
16/06/2022,2640.34,6019.22,4982.06
17/06/2022,2680.91,6019.22,5073.62
20/06/2022,2672.89,6019.22,5076.61
21/06/2022,2736.00,6019.22,5113.67
22/06/2022,2715.36,6118.29,5063.61
23/06/2022,2767.11,6118.29,5181.73
24/06/2022,2797.18,6392.52,5277.83
27/06/2022,2812.19,6521.57,5266.27
28/06/2022,2771.58,6521.57,5169.58
29/06/2022,2797.84,6510.58,5228.42
